Name,Team,League,Position,Handedness,Age,K,BA,EV,LA,RBI,BB,wRC,SLG,xwOBA,WAR,AB,Doubles,BBp,TB,IBB,xISO,xBACON,SS,BR,SC,IZC,Pull,Flyball,HR,Space
Ty France,SEA,AL,Infield,R,27,15.3,0.274,87.6,10.1,83,5.7,126,0.436,0.321,2.4,551,27,35,240,3,0.136,0.316,34.8,5.4,5,90.2,35.5,21.2,20,0
Carlos Santana,- - -,AL,Infield,S,36,17.4,0.202,90.7,15.4,60,14,102,0.376,0.352,1,431,18,71,162,2,0.185,0.318,31.6,9.3,7.2,82.9,47,28.4,19,0
Cody Bellinger,LAD,NL,Outfield,L,26,27.3,0.21,89.4,20.3,68,6.9,83,0.389,0.278,1.7,504,27,38,196,0,0.141,0.303,34.4,8.3,5.8,77.5,45.8,32.8,19,0
Randal Grichuk,COL,NL,Outfield,R,30,23.6,0.259,90,8.7,73,4.5,88,0.425,0.281,-0.2,506,21,24,215,0,0.141,0.305,27.3,6.8,6.6,85.8,33.9,26,19,0
Wilmer Flores,SFG,NL,Infield,R,30,17.1,0.229,87.8,20.7,71,9.8,103,0.394,0.31,1.4,525,28,59,207,1,0.137,0.288,35.7,6.3,5.4,87.6,46.6,31.5,19,0
MJ Melendez,KCR,AL,Infield,L,23,24.5,0.217,90.7,15.1,62,12.4,99,0.393,0.332,-0.2,460,21,66,181,1,0.173,0.331,31,10.4,6.8,79.3,43.5,32.7,18,0
Sean Murphy,OAK,AL,Infield,R,27,20.3,0.25,88.7,11.5,66,9.2,122,0.426,0.344,5.1,537,37,56,229,2,0.184,0.333,34.7,10.5,6.5,82.7,39.7,23.4,18,0
Trey Mancini,- - -,AL,Infield,R,30,23,0.239,89.5,12.7,63,9,104,0.391,0.327,0.9,519,23,53,203,2,0.165,0.332,39.6,9.8,10.3,81.3,40.9,27.8,18,0
Andres Gimenez,CLE,AL,Infield,L,23,20.1,0.297,87.8,11.7,69,6.1,140,0.466,0.326,6.1,491,26,34,229,4,0.143,0.332,31.3,6.2,6.5,79.6,37.8,19.4,17,0
Andrew McCutchen,MIL,NL,Outfield,R,35,21.4,0.237,89.1,13.2,69,9.8,98,0.384,0.325,0.3,515,25,57,198,1,0.155,0.329,36.2,8.6,5.8,83.2,43.3,28.1,17,0
Andrew Vaughn,CHW,AL,Outfield,R,24,17.3,0.271,90.8,7.5,76,5.6,113,0.429,0.319,-0.4,510,28,31,219,0,0.16,0.316,34.1,7.9,10,87.8,31,22.2,17,0
Elvis Andrus,- - -,AL,Infield,R,33,15.9,0.249,87.9,11.9,58,6.8,105,0.404,0.293,3.5,535,32,39,216,0,0.114,0.296,29.1,4.5,3.6,85.5,37.5,22.1,17,0
Ian Happ,CHC,NL,Outfield,S,27,23.2,0.271,89.7,10.9,72,9,120,0.44,0.306,3.5,573,42,58,252,4,0.14,0.322,29.2,6.5,6.5,79.5,40,24.8,17,0
Jake Cronenworth,SDP,NL,Infield,L,28,19.2,0.239,87.6,18.2,88,10.2,109,0.39,0.303,4.1,587,30,70,229,3,0.135,0.282,32.3,5.6,6.9,88.6,34.3,34.1,17,0
Javier Baez,DET,AL,Infield,R,29,24.9,0.238,87.9,9.6,67,4.4,90,0.393,0.285,2,555,27,26,218,1,0.149,0.313,29.7,8,4.9,77.7,39.9,22.9,17,0
Josh Bell,- - -,NL,Infield,S,29,15.8,0.266,88.9,8.4,71,12.5,123,0.422,0.349,2,552,29,81,233,4,0.151,0.332,30.7,7.2,3.7,83.6,37.1,19.7,17,0
Lane Thomas,WSN,NL,Outfield,R,26,24.1,0.241,86.4,12.5,52,7.5,96,0.404,0.286,1.1,498,26,41,201,0,0.135,0.302,32.6,6.5,5.7,85.4,41.8,21.3,17,0
Luis Rengifo,LAA,AL,Infield,S,25,15.5,0.264,86.9,9.9,52,3.3,103,0.429,0.296,1.6,489,22,17,210,0,0.138,0.303,31.1,5.4,4.9,85.8,38.7,23.6,17,0
Mike Yastrzemski,SFG,NL,Outfield,L,31,25.3,0.214,89.9,19.9,57,10.9,99,0.392,0.314,2.2,485,31,61,190,0,0.172,0.309,36.2,11.1,5.1,83,42.7,31.9,17,0
Tommy Pham,- - -,NL,Outfield,R,34,26.8,0.236,92.2,7.7,63,9,89,0.374,0.311,0.6,554,23,56,207,0,0.145,0.34,33.2,7.9,8.2,82.8,34.2,22.4,17,0
Trent Grisham,SDP,NL,Outfield,L,25,28.6,0.184,88.3,15.1,53,10.9,83,0.341,0.295,2.1,451,16,57,154,1,0.15,0.304,25.5,8.1,5.8,78.5,43.5,30,17,0
Austin Hays,BAL,AL,Outfield,R,26,19.6,0.25,87.7,11.3,60,5.8,105,0.413,0.298,1.5,535,35,34,221,0,0.132,0.306,32.3,5.2,7.1,87.7,40.8,22.4,16,0
Brandon Nimmo,NYM,NL,Outfield,L,29,17.2,0.274,89.4,6.1,64,10.5,134,0.433,0.342,5.4,580,30,71,251,0,0.148,0.326,28.1,7,3.6,85.9,29.6,20.6,16,0
Cedric Mullins II,BAL,AL,Outfield,L,27,18.8,0.258,88.8,17.4,64,7,106,0.403,0.288,3.4,608,32,47,245,2,0.117,0.293,29.3,4.9,5.9,82,41.8,26.4,16,0
Charlie Blackmon,COL,NL,Outfield,L,35,18.9,0.264,86.2,12.4,78,5.5,89,0.419,0.301,0.1,530,22,32,222,4,0.12,0.322,36.7,4.4,4,83.3,43,23.8,16,0
J.D. Martinez,BOS,AL,Outfield,R,34,24.3,0.274,89.1,14.1,62,8.7,119,0.448,0.349,1,533,43,52,239,1,0.211,0.355,42,12.5,8.9,79,31.6,30.8,16,0
Jesus Aguilar,- - -,NL,Infield,R,32,23.5,0.235,87.7,19.1,51,5.5,86,0.379,0.298,-0.4,464,19,28,176,1,0.153,0.321,39.7,6.9,7.7,82.2,36.3,30.9,16,0
Starling Marte,NYM,NL,Infield,R,33,19.2,0.292,86.8,7.5,63,5.1,136,0.468,0.336,3,466,24,26,218,0,0.153,0.348,38.5,6.8,7,82.7,38.8,20.1,16,0
Jose Abreu,CHW,AL,Infield,R,35,16.2,0.304,92.2,8,75,9.1,137,0.446,0.373,3.9,601,40,62,268,2,0.19,0.361,34.5,9.5,7.7,85.3,34.5,24,15,0
Josh Donaldson,NYY,AL,Infield,R,36,27.1,0.222,90.7,12,62,9.9,97,0.374,0.299,1.6,478,28,54,179,1,0.154,0.309,34.8,9.8,6.3,72.5,42.3,25.9,15,0
Jurickson Profar,SDP,NL,Outfield,S,29,15.7,0.243,87.5,12.9,58,11.1,110,0.391,0.315,2.5,575,36,73,225,0,0.108,0.306,34.7,4,4.6,85.5,42.1,22.8,15,0
Ronald Acuna Jr.,ATL,NL,Outfield,R,24,23.6,0.266,91.2,10.8,50,9.9,114,0.413,0.366,2.2,467,24,53,193,4,0.214,0.371,32.8,12.8,6.1,80.6,40.4,24.7,15,0
Xander Bogaerts,BOS,AL,Infield,R,29,18.7,0.307,88.1,10.2,73,9,134,0.456,0.323,6.1,557,38,57,254,2,0.124,0.328,30.3,6.5,4.9,81.5,37.2,21.1,15,0
AJ Pollock,CHW,AL,Outfield,R,34,18.6,0.245,88.8,11.6,56,6.1,92,0.389,0.317,0.5,489,26,32,190,0,0.161,0.321,32.9,9.4,5.8,84.8,40.8,22,14,0
Alejandro Kirk,TOR,AL,Infield,R,23,10.7,0.285,90.5,8.1,63,11.6,129,0.415,0.351,3.8,470,19,63,195,2,0.153,0.316,32,6.7,6.5,89.5,32.2,20.4,14,0
Christian Yelich,MIL,NL,Outfield,L,30,24.1,0.252,91.5,3.6,57,13.1,111,0.383,0.339,2.3,575,25,88,220,5,0.146,0.358,30.3,8.2,6.7,85.1,33.4,18,14,0
Jesse Winker,SEA,AL,Outfield,L,28,18.8,0.219,87.7,16.8,53,15.4,108,0.344,0.345,0.4,456,15,84,157,1,0.154,0.32,32,7.6,3.1,85.6,36.5,28.9,14,0
Kyle Farmer,CIN,NL,Infield,R,31,17,0.255,85.5,12.7,78,5.7,92,0.386,0.311,1.4,526,25,33,203,0,0.122,0.317,37.7,4.4,6.9,89.7,39.1,23.4,14,0
Thairo Estrada,SFG,NL,Infield,R,26,16.5,0.26,86.2,8.1,62,6.1,106,0.4,0.299,2.7,488,22,33,195,0,0.107,0.301,31.6,4.4,4.7,87.5,40,20.5,14,0
Gio Urshela,MIN,AL,Infield,R,30,17.4,0.285,88.9,11.8,64,7.4,119,0.429,0.323,2.4,501,27,41,215,2,0.148,0.329,38.6,7,6.6,84.8,33.3,23.8,13,0
Justin Turner,LAD,NL,Infield,R,37,16.7,0.278,89.5,18.4,81,9.4,123,0.438,0.339,2.4,468,36,50,205,1,0.16,0.327,40.6,8,6.2,84,34.6,33.3,13,0
