Name,HR,DH,P,L,wRC,EV,LA,K,BA
Rafael Devers,27,L,Infield,AL,140,93.1,11.3,18.6,295
Francisco Lindor,26,S,Infield,NL,127,89.3,13.8,18.8,270
Marcus Semien,26,R,Infield,AL,107,87.3,19.9,16.6,248
Dansby Swanson,25,R,Infield,NL,116,90.2,15.7,26.1,277
George Springer,25,R,Outfield,AL,132,88.7,13.9,17.2,267
Patrick Wisdom,25,R,Infield,NL,104,90.7,21.0,34.3,207
Seth Brown,25,L,Infield,AL,117,89.2,15.8,26.3,230
Teoscar Hernandez,25,R,Outfield,AL,129,92.6,11.6,28.4,267
Bo Bichette,24,R,Infield,AL,129,91.9,8.5,22.2,290
Gleyber Torres,24,R,Infield,AL,115,90.4,17.5,22.6,257
Will Smith,24,R,Infield,NL,127,89.9,18.4,16.6,260
Alex Bregman,23,R,Infield,AL,136,88.9,19.5,11.7,259
Marcell Ozuna,23,R,Outfield,NL,88,89.4,16.5,24.1,226
Taylor Ward,23,R,Outfield,AL,137,90.0,15.8,21.3,281
Carlos Correa,22,R,Infield,AL,140,89.9,11.6,20.5,291
J.T. Realmuto,22,R,Infield,NL,128,90.3,13.1,21.2,276
Jeremy Pena,22,R,Infield,AL,102,88.1,8.7,24.2,253
Luke Voit,22,R,Infield,NL,102,89.8,18.4,31.5,226
Ryan Mountcastle,22,R,Infield,AL,106,91.3,15.9,25.3,250
Freddie Freeman,21,L,Infield,NL,157,91.3,13.6,14.4,325
Max Muncy,21,L,Infield,NL,106,90.3,20.9,25,196
Trea Turner,21,R,Infield,NL,128,88.9,10.2,18.5,298
Bobby Witt Jr.,20,R,Infield,AL,99,89.7,16.8,21.4,254
Eduardo Escobar,20,S,Infield,NL,106,88.3,20.6,23.8,240
Randy Arozarena,20,R,Outfield,AL,125,89.9,8.8,24.2,263
Ryan McMahon,20,L,Infield,NL,95,91.7,10.8,26.5,246
Ty France,20,R,Infield,AL,126,87.6,10.1,15.3,274
Carlos Santana,19,S,Infield,AL,102,90.7,15.4,17.4,202
Cody Bellinger,19,L,Outfield,NL,83,89.4,20.3,27.3,210
Randal Grichuk,19,R,Outfield,NL,88,90.0,8.7,23.6,259
Wilmer Flores,19,R,Infield,NL,103,87.8,20.7,17.1,229
MJ Melendez,18,L,Infield,AL,99,90.7,15.1,24.5,217
Sean Murphy,18,R,Infield,AL,122,88.7,11.5,20.3,250
Trey Mancini,18,R,Infield,AL,104,89.5,12.7,23,239
Andres Gimenez,17,L,Infield,AL,140,87.8,11.7,20.1,297
Andrew McCutchen,17,R,Outfield,NL,98,89.1,13.2,21.4,237
Andrew Vaughn,17,R,Outfield,AL,113,90.8,7.5,17.3,271
Elvis Andrus,17,R,Infield,AL,105,87.9,11.9,15.9,249
Ian Happ,17,S,Outfield,NL,120,89.7,10.9,23.2,271
Jake Cronenworth,17,L,Infield,NL,109,87.6,18.2,19.2,239
Javier Baez,17,R,Infield,AL,90,87.9,9.6,24.9,238
Josh Bell,17,S,Infield,NL,123,88.9,8.4,15.8,266
Lane Thomas,17,R,Outfield,NL,96,86.4,12.5,24.1,241
Luis Rengifo,17,S,Infield,AL,103,86.9,9.9,15.5,264
Mike Yastrzemski,17,L,Outfield,NL,99,89.9,19.9,25.3,214
Tommy Pham,17,R,Outfield,NL,89,92.2,7.7,26.8,236
Trent Grisham,17,L,Outfield,NL,83,88.3,15.1,28.6,184
Austin Hays,16,R,Outfield,AL,105,87.7,11.3,19.6,250
Brandon Nimmo,16,L,Outfield,NL,134,89.4,6.1,17.2,274
Cedric Mullins II,16,L,Outfield,AL,106,88.8,17.4,18.8,258
Charlie Blackmon,16,L,Outfield,NL,89,86.2,12.4,18.9,264
J.D. Martinez,16,R,Outfield,AL,119,89.1,14.1,24.3,274
Jesus Aguilar,16,R,Infield,NL,86,87.7,19.1,23.5,235
Starling Marte,16,R,Infield,NL,136,86.8,7.5,19.2,292
Jose Abreu,15,R,Infield,AL,137,92.2,8.0,16.2,304
Josh Donaldson,15,R,Infield,AL,97,90.7,12.0,27.1,222
Jurickson Profar,15,S,Outfield,NL,110,87.5,12.9,15.7,243
Ronald Acuna Jr.,15,R,Outfield,NL,114,91.2,10.8,23.6,266
Xander Bogaerts,15,R,Infield,AL,134,88.1,10.2,18.7,307
AJ Pollock,14,R,Outfield,AL,92,88.8,11.6,18.6,245
Alejandro Kirk,14,R,Infield,AL,129,90.5,8.1,10.7,285
Christian Yelich,14,L,Outfield,NL,111,91.5,3.6,24.1,252
Jesse Winker,14,L,Outfield,AL,108,87.7,16.8,18.8,219
Kyle Farmer,14,R,Infield,NL,92,85.5,12.7,17,255
Thairo Estrada,14,R,Infield,NL,106,86.2,8.1,16.5,260
Gio Urshela,13,R,Infield,AL,119,88.9,11.8,17.4,285
Justin Turner,13,R,Infield,NL,123,89.5,18.4,16.7,278
